(2, -10)
(0, -4)
(-11, 7)
(2, 2)
(-16, 10)
(-3, 9)
(-6, -2)
(1, 11)
(12, 10)
(5, -1)
(8, -4)
(1, 19)
(-1, -5)
(-9, 5)
(-1, -17)
(11, 9)
(-6, -4)
(7, -9)
(3, 5)
(3, 11)
(14, 2)
(-6, 6)
(4, -4)
(-7, 1)
(2, 14)
(3, 7)
(-15, -7)
(0, -6)
(-7, -5)
(-2, -8)
(-11, -7)
(6, -2)
(-15, -9)
(-4, -2)
(-8, 16)
(-10, 6)
(4, -10)
(-9, -5)
(4, 2)
(9, 7)
(11, -1)
(6, -4)
(-11, -3)
(12, 2)
(19, -1)
(-15, -11)
(-7, -1)
(10, 2)
(-3, 11)
(-2, 14)
(-7, 11)
(-17, -1)
(8, -10)
(5, -5)
(-9, 13)
(-2, -6)
(4, -6)
(-12, -4)
(7, -5)
(5, 17)
(5, -3)
(-6, 2)
(5, 3)
(5, 11)
(6, 6)
(-7, 17)
(9, -21)
(1, -3)
(5, -13)
(2, -8)
(-15, 7)
(0, -12)
(6, -14)
(13, -3)
(-7, -9)
(5, 13)
(-4, 2)
(-11, -5)
(-6, 4)
(-7, -11)
(-9, 3)
(3, -11)
(-20, 2)
(2, -18)
(-9, -1)
(-16, -4)
(15, 3)
(7, -1)
(-6, 8)
(0, 8)
(5, 5)
(-13, 9)
(7, -17)
(-15, 5)
(2, -14)
(-14, -2)
(9, -7)
(-13, 7)
(-8, 10)
(9, 1)
(-15, 9)
(17, -5)
(-3, 1)
(10, 6)
(17, -9)
(8, 0)
(-1, -9)
(-8, 12)
(-6, 14)
(-9, 11)
(13, 5)
(13, 3)
(6, -6)
(0, 6)
(-14, 0)
(-10, -14)
(-1, 3)
(13, -11)
(-14, -6)
(9, 9)
(-11, -11)
(3, 3)
(2, 10)
(-3, -13)
(14, 0)
(-3, -11)
(11, -3)
(-7, 3)
(9, 13)
(-8, 8)
(13, -7)
(6, 4)
(-2, -20)
(8, -8)
(-11, -1)
(-8, -4)
(-10, 14)
(10, -18)
(14, 4)
(-13, 3)
(15, -5)
(15, 9)
(-11, 17)
(-3, 15)
(13, 1)
(12, -10)
(-8, 6)
(15, -15)
(-3, 17)
(-10, -8)
(10, -2)
(-9, 7)
(3, 15)
(0, -14)
(-7, -13)
(14, -14)
(23, -5)
(-16, -10)
(-3, 13)
(6, 8)
(-9, 9)
(-4, 6)
(10, 8)
(-17, -5)
(-7, -7)
(-4, -4)
(-14, 10)
(-14, -10)
(1, -15)
(2, 8)
(12, 8)
(2, 18)
(8, 4)
(16, 0)
(2, -12)
(8, 8)
(-3, 19)
(8, 16)
(-8, -8)
(-5, 13)
(1, 15)
(-7, 15)
(17, 7)
(0, -18)
(1, -19)
(4, 18)
(4, 16)
(-5, -9)
(-5, 15)
(-4, 16)
(9, 11)
(3, 13)
(10, 14)
(19, -19)
(-5, -13)
(-9, -13)
(7, 11)
(5, -15)
(1, -17)
(6, -12)
(-13, 11)
(-4, -14)
(10, 10)
(-8, 24)
(-15, -5)
(-8, -16)
(-12, 4)
(-7, 9)
(8, -6)
(-3, -15)
(0, 12)
(3, -17)
(7, 13)
(-12, 6)
(-5, 19)
(7, 7)
(13, 17)
(-6, -8)
(-12, 8)
(-9, 19)
(12, -8)
(13, 9)
(-8, 2)
(12, -16)
(-15, -3)
(0, 16)
(18, -6)
(-8, -20)
(-9, -11)
(13, -5)
(-11, 9)
(-1, -13)
(0, 14)
(-6, -18)
(-2, 16)
(9, -11)
(7, 17)
(-9, -17)
(-5, 11)
(7, -11)
(-2, -10)
(18, -12)
(-16, -2)
(4, 12)
(-12, -12)
(4, -14)
(-8, -6)
(18, -8)
(-14, 4)
(3, -15)
(-4, -16)
(12, 20)
(14, 14)
(15, 15)
(-12, 10)
(-15, 3)
(1, -13)
(11, -5)
(16, 8)
(-2, 18)
(-6, -12)
(-21, 21)
(-15, 11)
(-7, 13)
(-10, -10)
(-8, -12)
(-14, 8)
(-18, -12)
(16, -10)
(7, -15)
(7, -13)
(-8, -14)
(18, 4)
(-9, -7)
(-10, 4)
(15, 5)
(11, 7)
(-2, -16)
(2, 20)
(15, 7)
(-18, 8)
(-24, 0)
(-6, -16)
(0, -8)
(-13, 13)
(18, -4)
(14, -2)
(-2, 22)
(11, -21)
(15, -1)
(17, 11)
(15, 11)
(-2, 12)
(12, 0)
(12, 14)
(14, 12)
(-16, 2)
(-15, 1)
(16, -6)
(-12, -16)
(12, 22)
(6, 14)
(-1, 13)
(4, 14)
(-2, 20)
(10, -14)
(-19, 3)
(9, 15)
(-6, -14)
(19, 1)
(-18, -8)
(-1, 11)
(8, -14)
(-9, -15)
(17, 3)
(11, -15)
(10, 4)
(-14, 6)
(-14, -14)
(13, -15)
(18, 6)
(-14, 2)
(-4, -18)
(-1, -15)
(-22, 0)
(-5, -17)
(15, -7)
(-10, 18)
(20, 6)
(-17, 13)
(-12, 14)
(-4, 20)
(-21, -7)
(19, -11)
(-12, -6)
(-16, -8)
(16, -4)
(15, 17)
(-7, -15)
(-6, -22)
(21, 3)
(-4, 12)
(0, -16)
(12, -6)
(-18, 4)
(12, -12)
(6, -16)
(-4, 14)
(-12, 16)
(-5, 21)
(5, 19)
(14, -4)
(4, -20)
(12, 6)
(-18, -2)
(12, 12)
(-18, -4)
(-19, 1)
(-19, 15)
(5, -17)
(-11, 11)
(18, 8)
(-3, -17)
(11, 15)
(15, 23)
(-15, -17)
(-5, -19)
(-1, 17)
(-16, -14)
(16, 16)
(-17, -17)
(20, -4)
(-21, -1)
(1, 23)
(-10, 8)
(-14, -8)
(-4, -12)
(18, -2)
(20, -12)
(-2, 26)
(16, 12)
(6, 12)
(-21, 7)
(-3, 23)
(6, 24)
(13, -13)
(-13, 21)
(11, -11)
(14, 10)
(-12, 20)
(7, 15)
(-17, 1)
(21, -3)
(-5, -15)
(-10, 20)
(11, -13)
(15, -11)
(-23, -9)
(-22, -4)
(21, 11)
(6, -18)
(-1, -21)
(-19, -1)
(14, -8)
(-14, -12)
(14, 6)
(-14, -18)
(10, -12)
(6, -20)
(3, -13)
(-16, 0)
(4, -18)
(20, -2)
(21, -1)
(16, 14)
(-11, -13)
(2, -16)
(-11, -9)
(-15, -1)
(-14, 12)
(-21, 13)
(18, 0)
(19, -7)
(-8, -18)
(-20, 0)
(5, -19)
(-16, 12)
(-24, -8)
(-16, 8)
(11, 13)
(-21, 1)
(-10, 12)
(-11, 13)
(11, 17)
(-13, -11)
(-15, -13)
(-17, -3)
(-20, 10)
(15, -3)
(20, -6)
(7, 23)
(-12, -8)
(-23, 3)
(-18, 18)
(9, 19)
(13, 7)
(28, -6)
(-18, 2)
(11, -17)
(17, -11)
(5, -21)
(19, 13)
(-19, 13)
(-18, 6)
(19, 7)
(-2, -22)
(15, -13)
(9, -13)
(2, -20)
(11, 11)
(13, 11)
(-6, -20)
(-14, -4)
(14, -16)
(-14, 18)
(17, 19)
(-16, 4)
(22, -10)
(6, 26)
(22, -8)
(23, -17)
(-12, 12)
(8, 14)
(-21, 3)
(3, 17)
(-23, 1)
(16, 18)
(12, -14)
(-13, 17)
(32, 2)
(-11, -17)
(17, -1)
(16, 10)
(11, 21)
(20, 8)
(10, 20)
(-9, 21)
(-7, -17)
(-3, 21)
(14, 16)
(-20, -6)
(-1, 21)
(-20, -10)
(19, 5)
(-5, 17)
(-9, 15)
(1, -23)
(10, 18)
(0, -22)
(-6, 16)
(-23, -5)
(-1, 19)
(3, 19)
(6, 18)
(-9, 17)
(-16, 14)
(9, 17)
(18, 2)
(17, -17)
(19, -3)
(1, 17)
(4, -16)
(-3, -21)
(-10, -16)
(20, 14)
(-4, -22)
(-6, 20)
(-17, 9)
(-14, 14)
(-20, 8)
(-18, -6)
(8, -20)
(18, 10)
(-4, -20)
(2, 16)
(20, 0)
(16, 6)
(9, -15)
(-6, 18)
(-20, 4)
(4, 20)
(-11, -15)
(16, -8)
(15, -9)
(-10, -12)
(16, 4)
(10, 16)
(20, 2)
(23, -1)
(27, 11)
(1, -21)
(-3, 25)
(-18, 12)
(-17, 11)
(3, 21)
(-6, 24)
(7, -23)
(-18, 0)
(12, -24)
(9, -17)
(14, -12)
(-22, -8)
(-17, -7)
(-21, 5)
(12, -18)
(-19, 9)
(-18, -16)
(-21, -15)
